coreId,length,TN,TC,IC,OC,C,type
1.1BE,5,0.579,5.48,0.063,5.42,1.686666667,BE
1.1BE,15,0.317,2.75,0.087,2.66,1.686666667,BE
1.1BE,25,0.248,2.26,0.088,2.17,1.686666667,BE
1.1BE,35,0.2,1.86,0.129,1.73,1.686666667,BE
1.1BE,45,0.15,1.53,0.27,1.26,1.686666667,BE
1.1BE,55,0.099,0.671,0.033,0.64,1.686666667,BE
1.1BE,65,0.075,0.578,0.097,0.48,1.686666667,BE
1.1BE,75,0.054,1.37,0.908,0.46,1.686666667,BE
1.1BE,85,0.043,1.28,0.922,0.36,1.686666667,BE
1.5 BE,5,0.576,5.65,0.063,5.59,1.581111111,BE
1.5 BE,15,0.337,2.94,0.054,2.88,1.581111111,BE
1.5 BE,25,0.203,1.72,0.048,1.67,1.581111111,BE
1.5 BE,35,0.18,1.64,0.18,1.46,1.581111111,BE
1.5 BE,45,0.162,1.52,0.251,1.26,1.581111111,BE
1.5 BE,55,0.07,1.5,1.01,0.49,1.581111111,BE
1.5 BE,65,0.036,1.85,1.69,0.16,1.581111111,BE
1.5 BE,75,0.032,2.4,2.07,0.33,1.581111111,BE
1.5 BE,85,0.033,2.54,2.154,0.39,1.581111111,BE
1.7BE,5,0.671,6.47,0.508,5.96,1.396666667,BE
1.7BE,15,0.364,3.98,0.909,3.07,1.396666667,BE
1.7BE,25,0.203,1.66,0.133,1.53,1.396666667,BE
1.7BE,35,0.103,0.837,0.244,0.59,1.396666667,BE
1.7BE,45,0.067,1.1,0.736,0.36,1.396666667,BE
1.7BE,55,0.056,1.38,1.1,0.28,1.396666667,BE
1.7BE,65,0.04,2.01,1.71,0.3,1.396666667,BE
1.7BE,75,0.034,2.173,1.94,0.23,1.396666667,BE
1.7BE,85,0.05,1.83,1.58,0.25,1.396666667,BE
2.1G,5,0.414,3.77,0.088,3.68,1.298181818,G
2.1G,15,0.363,3.03,0.074,2.96,1.298181818,G
2.1G,25,0.277,2.24,0.043,2.2,1.298181818,G
2.1G,35,0.161,1.18,0.032,1.15,1.298181818,G
2.1G,45,0.147,0.97,0.025,0.94,1.298181818,G
2.1G,55,0.136,1.39,0.584,0.81,1.298181818,G
2.1G,65,0.11,1.69,0.985,0.71,1.298181818,G
2.1G,75,0.097,2.58,1.915,0.67,1.298181818,G
2.1G,85,0.079,3.4,2.81,0.59,1.298181818,G
2.1G,95,0.05,3.75,3.43,0.33,1.298181818,G
2.3G,5,0.6,5.92,0.11,5.81,1.951,G
2.3G,15,0.379,3.31,0.086,3.22,1.951,G
2.3G,25,0.366,3.1,0.0895,3.01,1.951,G
2.3G,35,0.275,2.33,0.038,2.29,1.951,G
2.3G,45,0.178,1.63,0.3415,1.29,1.951,G
2.3G,55,0.157,2.07,0.984,1.09,1.951,G
2.3G,65,0.143,1.59,0.674,0.92,1.951,G
2.3G,75,0.119,1.08,0.287,0.79,1.951,G
2.3G,85,0.096,1.67,1.075,0.6,1.951,G
2.3G,93,0.073,3.02,2.535,0.49,1.951,G
2.5G,5,0.602,6,0.059,5.94,1.839,G
2.5G,15,0.377,3.35,0.055,3.3,1.839,G
2.5G,25,0.33,2.77,0.045,2.72,1.839,G
2.5G,35,0.219,1.6,0.039,1.56,1.839,G
2.5G,45,0.228,1.67,0.143,1.53,1.839,G
2.5G,55,0.121,2.24,1.43,0.81,1.839,G
2.5G,65,0.106,2.06,1.39,0.67,1.839,G
2.5G,75,0.106,1.76,1.08,0.68,1.839,G
2.5G,85,0.082,2.09,1.52,0.57,1.839,G
2.5G,94,0.098,1.285,0.674,0.61,1.839,G
3.1P,5,0.553,5.35,0.135,5.22,1.411,P
3.1P,15,0.31,3.04,0.141,2.9,1.411,P
3.1P,25,0.266,2.74,0.246,2.49,1.411,P
3.1P,35,0.118,2.65,1.84,0.81,1.411,P
3.1P,45,0.102,3.2,2.59,0.61,1.411,P
3.1P,55,0.063,4.35,3.8,0.55,1.411,P
3.1P,65,0.056,4.71,4.17,0.54,1.411,P
3.1P,75,0.052,4.28,4.03,0.25,1.411,P
3.1P,85,0.06,4.35,4.11,0.24,1.411,P
3.1P,95,0.069,4.83,4.33,0.5,1.411,P
3.5P,5,0.585,5.75,0.099,5.65,5.65,P
3.5P,15,0.306,3.28,0.116,3.16,5.65,P
3.5P,25,0.276,3.06,0.219,2.84,5.65,P
3.5P,35,0.142,1.03,0.049,0.98,5.65,P
3.5P,45,0.119,2.74,1.83,0.91,5.65,P
3.5P,55,0.08,4.68,4.06,0.62,5.65,P
3.5P,65,0.064,4.84,4.38,0.46,5.65,P
3.5P,75,0.051,4.34,4.18,0.16,5.65,P
3.5P,85,0.048,4.87,4.52,0.35,5.65,P
3.5P,95,0.049,4.55,4.24,0.31,5.65,P
3.7P,5,0.616,6.12,0.132,5.99,1.618181818,P
3.7P,15,0.323,3.13,0.085,3.04,1.618181818,P
3.7P,25,0.308,3.1,0.161,2.94,1.618181818,P
3.7P,35,0.205,1.89,0.103,1.79,1.618181818,P
3.7P,45,0.143,0.984,0.034,0.95,1.618181818,P
3.7P,55,0.135,0.892,0.03,0.86,1.618181818,P
3.7P,65,0.117,2.83,2.09,0.74,1.618181818,P
3.7P,75,0.093,4,3.43,0.57,1.618181818,P
3.7P,85,0.075,4.38,3.94,0.44,1.618181818,P
3.7P,95,0.055,4.04,3.79,0.25,1.618181818,P
